user_id,dinero_gastado,porcentaje de recomendación,items_count
13305678912,0.0,inf,0.0
1337666133766613376661337,0.0,0.88,113.0
1337_K_REW,14.99,21.05,38.0
1337hunter,0.0,0.75,134.0
1337lolroflmao,157.92,370.05,197.0
1337putin,94.96,70.33,91.0
1343534566,19.99,117.39,23.0
13457856281,9.99,19.05,42.0
135781,154.94,812.7,63.0
13971397,69.97,56.31,222.0
13lazer,19.99,0.25,398.0
14125161412,0.0,inf,0.0
14372193,0.0,7.21,111.0
1440454,14.99,11.43,70.0
1452221660414,49.97,45.71,140.0
145578,4.99,1.06,94.0
1457184935981,24.98,237.04,27.0
14725836900,0.0,5.88,17.0
147532984,4.99,1.01,99.0
150010792,0.0,7.08,113.0
154352,44.97,73.56,87.0
1546328127418,34.99,29.63,27.0
154930493,84.98,21.05,38.0
15511551,39.97,41.03,156.0
157645,9.99,0.21,487.0
15832789427,19.99,7.84,102.0
15934,44.97,51.61,124.0
159zse159,23.99,0.27,377.0
1626466724893520,79.95,1139.06,64.0
163050995,0.0,7.69,13.0
16538,144.96,46.38,138.0
169420666,0.0,1.89,53.0
17101710,129.95,544.03,134.0
171516,39.97,110.2,196.0
17291799,0.0,5.26,19.0
1739902091026,0.0,1.27,79.0
174gamecuman700kngkakak,48.96,135.85,159.0
17829463213,14.99,11.59,69.0
1800-Ricohut,81.94999999999999,178.51,121.0
1801010101,34.98,inf,0.0
180577,0.0,1.52,66.0
18082001,34.98,25.71,105.0
18228272828,64.97,41.83,153.0
18481,9.99,5.19,154.0
1850172512752815,9.99,3.57,28.0
1873410337,104.95,1869.23,39.0
1875489156748,4.99,1.92,52.0
187625,29.979999999999997,22.31,121.0
1889999999999999,0.0,2.86,35.0
1892322575,0.0,inf,0.0
19-20-5-20-27-5-18,0.0,3.12,32.0
1920410,14.99,1.15,87.0
1922001,0.0,8.51,94.0
19372250,0.0,0.73,137.0
1944086851,0.0,7.14,14.0
194847383,44.97,160.0,135.0
1956aa1,19.99,7.08,113.0
195862,54.97,181.16,69.0
1994dbc,0.0,0.48,207.0
19990923,19.99,2.44,41.0
19te_Polska,39.99,1.43,70.0
1MLG2U,44.96,211.86,59.0
1NFR33,0.0,0.51,196.0
1R1M1,24.979999999999997,51.92,52.0
1a1u14,0.0,10.53,76.0
1epicninja,134.95,137.36,91.0
1iam1iam1iam,39.97,38.57,70.0
1jamesn4,35.98,9.76,82.0
1silentsniper1,14.99,0.31,319.0
1snap,89.94999999999999,191.62,179.0
1stBLUE-COW,19.99,1.92,52.0
1stJamestar,0.0,inf,0.0
1stpionpaul,14.99,0.62,162.0
1v08,19.99,inf,0.0
1v1meguy,19.98,3.27,245.0
200220006,0.0,0.72,139.0
20041213,9.99,100.0,27.0
200px-spy-taunt-laugh,0.0,5.56,18.0
2011368123,9.99,0.4,252.0
2080308,9.99,9.41,85.0
2092000666,5.98,87.1,31.0
210396,99.94999999999999,inf,0.0
210519992016,39.980000000000004,148.81,84.0
211011374,59.99,3.12,32.0
2222455,19.99,0.76,131.0
22502250,0.0,1.3,77.0
225544,12.98,37.5,72.0
225555,14.99,5.88,17.0
2271531450,14.99,4.0,25.0
23012003,14.99,44.44,18.0
231091,19.99,0.54,184.0
231321455,64.96000000000001,208.33,60.0
23184798,14.99,3.12,32.0
2323534545,40.96,217.09,158.0
23434454365463446754546576e45646,0.0,8.08,99.0
2345254252312312,29.97,inf,0.0
235269,29.99,1.14,88.0
2364786499,14.99,2.04,49.0
23745736,19.99,10.81,74.0
2390746539217,9.99,34.78,23.0
23974656456,16.06,1.19,84.0
23Batman05,64.96,236.55,145.0
24101738,0.0,2.94,34.0
24453,54.970000000000006,36.49,74.0
2448531,0.0,1.25,80.0
24596,14.99,0.83,121.0
246823,0.0,4.0,25.0
247211,74.95,81.17,154.0
2479742,39.98,25.47,106.0
249758,39.99,0.55,181.0
25230405,34.99,1.02,98.0
2547887,9.99,inf,0.0
2571,89.95,18.12,690.0
25_Years_Since_Freddie,94.94999999999999,1143.33,30.0
26070,0.0,2.78,36.0
2608739,14.99,160.0,5.0
2647891,19.99,12.5,8.0
27073108,49.980000000000004,7.55,106.0
27601MCM,8.99,1.72,58.0
2768820078,244.9,1098.9,91.0
279519365,14.99,0.79,127.0
28042005,14.98,inf,0.0
2828838282,19.99,inf,0.0
2891723967123,103.72,214.37,160.0
29017637452801,0.0,1.16,86.0
2910463,19.99,inf,0.0
291129112911291129112911,19.99,1.47,68.0
29123,44.980000000000004,694.44,36.0
29998000,29.99,17.39,46.0
2Chill,43.97,22.13,122.0
2Degrees,24.99,32.93,82.0
2EzRogueDH,19.99,1041.67,12.0
2JZEEEEBABY,89.98,13.11,61.0
2Lethal,79.97,23.08,117.0
2Ta4,10.98,7.46,362.0
2ZESTY4ME,19.99,78.05,82.0
2d4nk4m3,0.0,5.0,160.0
2edgy4youboi,87.95,257.14,84.0
2ez2xl,19.98,10.13,79.0
2ez4medick,0.0,3.12,32.0
2ik4tf,9.99,4.55,22.0
2lstgun,19.99,3.23,31.0
2nerdssemvida,6.99,7.92,101.0
2pacisaliveincuba,14.99,0.33,303.0
2red12,14.99,0.66,151.0
2sBs,144.92,456.62,219.0
2sd31,0.0,9.09,11.0
2slippy,0.0,inf,0.0
2sneaky5u,9.99,0.34,291.0
2spooky,164.94,66.87,323.0
2v1meyoucheekyscrub,14.99,2.38,42.0
2xDelorean,9.99,116.36,55.0
30102002,14.99,3.03,33.0
3021Daniel,14.99,0.95,105.0
3046123,9.99,1.43,70.0
314155156915923,9.99,22.22,36.0
31575,0.0,1.37,73.0
317733235,0.0,13.79,58.0
317984739321,34.98,36.0,150.0
3197,21.97,145.45,44.0
320RustPro,14.99,72.73,11.0
3214213216,19.99,0.93,107.0
329838102,0.0,142.11,19.0
32bitmaximus,0.0,1.27,79.0
33215469,14.99,inf,0.0
33334scat,19.99,1.69,59.0
33442,0.0,14.29,7.0
334756875,32.97,112.61,111.0
3423523425433425,0.0,0.85,118.0
343221221,14.99,1.92,52.0
34324132,14.99,2.44,41.0
345675,159.94,405.0,180.0
34573671264yi,9.99,1.09,92.0
350241,0.0,0.54,184.0
3523436346,54.980000000000004,8.08,99.0
35353534,34.98,93.1,29.0
3546873516354,69.98,inf,0.0
35475,27.98,4.97,161.0
3548548564856498484894,72.95,144.97,149.0
3565Jason,14.99,36.36,22.0
360j1mmy,59.97,8.6,314.0
36864,89.94,36.36,22.0
369231461278416,19.99,6.3,127.0
36_T,84.96,281.47,259.0
373848099,19.99,1.01,99.0
37755753,111.92999999999999,735.29,136.0
381644,19.99,1.19,84.0
38927497,0.99,0.14,725.0
391204566,9.99,1.12,89.0
3Ldota,29.98,450.0,6.0
3X5G3,0.0,inf,0.0
3dster,19.99,0.88,113.0
3eBpA,4.99,0.71,140.0
3lAckCAt,9.99,0.88,114.0
3teGZ_Rorschach,144.9,490.0,70.0
3th3,32.97,1104.55,66.0
3xU,39.99,0.68,146.0
3xotic26,59.97,41.83,153.0
402553929,14.99,1.85,54.0
4043RROR,24.98,8.79,91.0
404ok4561687987879847,14.99,6.25,16.0
4123223232,14.99,inf,0.0
416940127,119.98,inf,0.0
41781029,0.0,1.96,51.0
4200769711,14.99,3.85,26.0
420BlazeItMLG,14.99,117.39,23.0
420Blz,39.99,0.5,199.0
420BlzeIT,14.99,2.5,40.0
420Club,29.99,inf,0.0
420DankMasterKush420,10.98,7.84,102.0
420NigelGaming420,53.96,450.0,48.0
420_Blaze_It_Fgt,0.0,44.44,18.0
420cheekycunt,14.99,7.14,14.0
420fedora,75.95,1086.96,92.0
420slender,14.99,3.12,32.0
4234213234124,14.99,5.0,20.0
42456,20.97,1388.89,9.0
42654264,14.99,4.17,24.0
4301945,0.0,7.69,13.0
4321louis,0.0,1.43,70.0
4324434,19.98,42.11,19.0
434238948,70.94999999999999,428.75,80.0
434546464,114.97,35.53,76.0
43643532,19.99,inf,0.0
44196,74.96,45.71,140.0
44290,0.0,2.94,34.0
4432XABLAU,0.99,31.37,204.0
44579,0.0,2.13,47.0
45236243663663643636,14.99,2.22,45.0
4545451111,0.0,2.63,38.0
4545648,0.0,12.5,8.0
45514551,11.99,91.43,70.0
45544554455445,6.99,1.1,91.0
4563453467436754656677,0.0,12.5,8.0
45667992,79.97,inf,0.0
45685748567857,0.0,1.72,58.0
45826755958,9.99,2.5,40.0
46366536564574576346346546,0.0,0.52,192.0
47332585890115903727,4.99,inf,0.0
4801,34.98,38.57,140.0
48226746,139.89,416.26,123.0
486259317,37.96,132.98,94.0
4RCH4NG3Ll,19.97,15.61,173.0
4_5C12U13,89.94,170.08,127.0
4hwei,0.99,14.44,187.0
4i20swagyolo69,44.96,266.67,24.0
4mrtm,24.98,98.43,127.0
4n631,19.99,1.96,51.0
4nti-y0u,54.980000000000004,6.9,116.0
4tiles,24.99,5.0,40.0
4u5ur0,89.96000000000001,inf,0.0
51041,14.99,2.13,47.0
51134243,109.94,361.05,95.0
512356,74.95,98.84,518.0
51564210333,15.98,9.88,81.0
519348245,0.0,1.41,71.0
51centcorn,59.96,72.24,299.0
51jets,14.99,3.57,28.0
527788235,76.95,88.16,245.0
53112195114,9.99,1.96,51.0
5343039,19.99,0.49,204.0
535346456636,39.99,9.64,83.0
5400540054005400,82.96,506.93,101.0
54263144,14.99,22.86,35.0
544183980,19.99,0.75,133.0
544542132154524145,9.99,3.03,33.0
54546545,19.99,1.12,89.0
54678907652,89.94,721.13,71.0
548547248072804,54.97,36.49,74.0
54Strat,94.97,47.37,57.0
5512FAG365123BOi27,19.99,inf,0.0
554076033,59.99,7.14,14.0
55411144321649875611,84.97,inf,0.0
55432147,104.97,48.12,133.0
5554Grovesy,34.980000000000004,70.33,91.0
558092,39.97,235.85,53.0
564743553uy5367,14.99,1.92,52.0
5678LetMeCyaBootyShake,9.99,27.0,100.0
58077979,0.0,2.5,40.0
58254410,54.96,37.65,170.0
5856565456564,64.96,120.19,104.0
58981044,14.99,1.09,92.0
5975,9.99,0.41,241.0
5LuG,0.0,4.35,23.0
5mok3y,84.97,inf,0.0
5p1d3r5,14.99,inf,0.0
5spooky420me,19.99,112.5,24.0
5yearoldrexrex111,9.99,0.82,122.0
60324133769,64.96000000000001,143.68,87.0
61241571,14.99,4.76,21.0
616333,0.0,10.39,77.0
618554,0.0,3.33,30.0
62245757454,0.0,inf,0.0
62568973,0.0,inf,0.0
6294421419,0.0,6.9,116.0
6367468774734664754,2.99,inf,0.0
63718432421321321312,84.97999999999999,86.49,74.0
63Hayden,49.97,144.0,150.0
6435677448,9.99,2.33,43.0
64512328,99.98,48.85,262.0
64574574574744,49.97,75.0,36.0
64723864,0.0,0.45,221.0
654986416581986168165,14.99,inf,0.0
657475591245,14.99,0.72,138.0
6592,9.99,0.3,335.0
66083299,14.99,213.33,30.0
66655493948,99.93,inf,0.0
66666669999999,0.0,0.83,121.0
666_pl_Satan_pl_666,87.94,inf,0.0
666slayerr666,9.99,0.75,133.0
66839427,14.99,1.14,88.0
66d,34.99,10.26,78.0
6738497298564377854673421,29.98,6.25,128.0
678rtv45,66.96000000000001,182.86,35.0
67samjosh,0.0,13.56,59.0
69133709,0.0,2.94,34.0
692412341234,0.0,3.57,28.0
6935,54.95,204.17,168.0
694201337694201337,54.980000000000004,15.69,51.0
696969696969699,14.99,21.05,76.0
69_420_bl41e_fgt,0.0,1.18,85.0
69bmw,0.0,23.53,34.0
69madman,4.99,5.56,18.0
6dighero,84.98,2.37,337.0
6ex6ex6ex,9.99,1.22,82.0
6golf6,0.0,9.09,11.0
70spots,0.0,inf,0.0
711armageddoncarmageddon,34.97,28.12,96.0
7122456,19.99,3.57,28.0
71251241,49.95,729.0,100.0
723943123,174.94,647.17,53.0
72947282842,14.99,50.0,2.0
737911,2.99,13.64,198.0
739567275,9.99,5.88,136.0
739749287981,0.0,2.63,38.0
740449400,14.99,3.57,28.0
748237482374284792,19.99,6.06,132.0
74987000,70.94,601.75,57.0
750805,12.99,1.16,690.0
7515953,59.980000000000004,114.29,56.0
75791513,24.98,446.43,28.0
75k12,69.97,27.27,99.0
76561197960288186,24.99,0.39,254.0
76561197960324928,109.97,34.62,78.0
76561197960438497,14.99,4.76,21.0
76561197960461312,59.99,10.39,77.0
76561197960467275,0.0,3.74,214.0
76561197960565429,14.99,inf,0.0
76561197960608571,0.0,4.76,21.0
76561197960743001,14.99,5.88,17.0
76561197960788238,44.98,inf,0.0
76561197960909955,14.99,inf,0.0
76561197960963309,0.0,inf,0.0
76561197961124706,24.99,0.9,111.0
76561197961205196,14.99,inf,0.0
76561197961464265,24.99,1.35,74.0
76561197961718947,39.98,23.53,34.0
76561197961778802,14.99,inf,0.0
76561197962025274,24.99,1.82,55.0
76561197962071692,19.99,inf,0.0
76561197963085108,0.0,inf,0.0
76561197963392788,9.99,2.5,40.0
76561197963397231,19.99,inf,0.0
76561197963427169,14.99,inf,0.0
76561197963436918,0.0,0.88,114.0
76561197963455626,24.979999999999997,2.9,276.0
76561197963459411,9.99,inf,0.0
76561197963469414,49.98,12.8,211.0
76561197963478502,4.99,1.69,59.0
76561197963587066,24.99,inf,0.0
76561197963638240,0.0,0.6,167.0
76561197963759246,59.99,3.12,32.0
76561197964316999,34.99,0.4,251.0
76561197964317648,39.98,1.84,434.0
76561197964402427,9.99,0.83,121.0
76561197964753680,54.97,8.36,766.0
76561197964876290,19.99,1.61,62.0
76561197965059579,0.0,1.59,63.0
76561197965144435,14.99,0.99,101.0
76561197965205416,48.96,105.04,119.0
76561197965208032,29.979999999999997,2.46,325.0
76561197965224231,34.98,18.6,43.0
76561197965557728,12.98,3.76,213.0
76561197965640732,234.94,inf,0.0
76561197965668941,0.0,1.61,62.0
76561197966079422,29.99,inf,0.0
76561197966227291,0.0,0.42,237.0
76561197966298550,9.99,0.35,286.0
76561197966586458,39.99,1.45,69.0
76561197966587792,14.99,1.33,75.0
76561197966590415,9.99,0.6,168.0
76561197966604253,19.99,0.28,353.0
76561197966647905,59.99,0.68,146.0
76561197966764681,14.99,0.45,223.0
76561197966970006,83.96000000000001,inf,0.0
76561197966979423,19.98,7.21,111.0
76561197967174031,19.99,0.28,354.0
76561197967253452,24.99,2.56,39.0
76561197967370851,4.99,0.85,118.0
76561197967405669,9.99,inf,0.0
76561197967445425,29.99,1.32,76.0
76561197967609413,64.98,2.42,331.0
76561197967708845,0.0,2.56,39.0
76561197967723333,84.97,34.59,185.0
76561197967849744,34.99,0.61,164.0
76561197968133716,14.99,inf,0.0
76561197968167449,104.94999999999999,55.56,225.0
76561197968205306,19.99,1.37,73.0
76561197968305777,19.99,0.55,182.0
76561197968314999,14.99,inf,0.0
76561197968496988,29.99,inf,0.0
76561197968515654,0.0,1.75,57.0
76561197968625140,29.99,inf,0.0
76561197968819806,2.99,36.0,75.0
76561197968887720,24.99,2.31,347.0
76561197968933410,59.99,inf,0.0
76561197969020980,139.94,212.45,241.0
76561197969314107,114.92,290.91,176.0
76561197969434273,89.95,128.87,97.0
76561197969599867,14.99,0.32,310.0
76561197969602007,69.98,inf,0.0
76561197969663913,0.0,3.7,27.0
76561197969678792,24.99,1.72,58.0
76561197969727244,129.95,inf,0.0
76561197969764991,59.99,inf,0.0
76561197969800840,69.98,4.37,183.0
76561197969812413,54.95,inf,0.0
76561197969868617,39.99,1.15,87.0
76561197970097668,6.99,6.67,120.0
76561197970148466,19.99,0.18,570.0
76561197970317038,134.97,25.96,104.0
76561197970329595,0.0,2.17,46.0
76561197970476149,19.99,inf,0.0
76561197970512992,0.0,9.3,86.0
76561197970519274,29.99,inf,0.0
76561197970519408,29.99,inf,0.0
76561197970523542,0.0,1.96,51.0
76561197970528598,9.99,1.47,68.0
76561197970539254,0.0,inf,0.0
76561197970542592,74.97,9.89,273.0
76561197970551076,9.99,0.37,273.0
76561197970561135,19.99,inf,0.0
76561197970565267,79.96000000000001,42.95,149.0
76561197970580235,14.99,0.05,2070.0
76561197970600478,94.96000000000001,80.0,270.0
76561197970643976,14.99,inf,0.0
76561197970691715,9.99,inf,0.0
76561197970723780,29.979999999999997,1.63,490.0
76561197970724420,24.98,9.3,688.0
76561197970725078,19.99,0.52,193.0
76561197970767761,14.99,4.55,22.0
76561197970809118,0.0,inf,0.0
76561197970812298,39.97,42.95,149.0
76561197970814132,19.99,inf,0.0
76561197970849273,19.99,inf,0.0
76561197970895200,0.0,1.72,58.0
76561197970931849,40.97,inf,0.0
76561197970952528,55.96,inf,0.0
76561197970972400,75.94,360.0,60.0
76561197970980141,67.96000000000001,inf,0.0
76561197970980211,39.98,inf,0.0
76561197970982479,29.979999999999997,9.75,277.0
76561197970989261,69.98,inf,0.0
76561197971050940,0.0,3.12,32.0
76561197971059162,64.97999999999999,17.76,152.0
76561197971077817,9.99,1.18,85.0
76561197971119511,34.97,1.69,1595.0
76561197971124277,44.98,inf,0.0
76561197971285616,45.96,113.58,302.0
76561197971327741,0.0,0.45,220.0
76561197971330852,0.0,inf,0.0
76561197971336570,29.99,1.43,70.0
76561197971402201,0.0,2.0,50.0
76561197971407276,59.99,inf,0.0
76561197971440875,19.99,4.0,25.0
76561197971470597,0.0,1.64,61.0
76561197971532272,31.979999999999997,inf,0.0
76561197971541516,19.99,0.83,120.0
76561197971591275,29.99,0.79,127.0
76561197971725163,9.99,20.93,129.0
76561197971730470,69.98,inf,0.0
76561197971744536,0.0,inf,0.0
76561197971851704,59.980000000000004,19.28,332.0
76561197971860091,54.97,inf,0.0
76561197971917242,19.99,1.61,62.0
76561197971933349,4.99,10.13,79.0
76561197972017423,39.98,inf,0.0
76561197972024039,64.97,inf,0.0
76561197972059969,39.99,0.54,186.0
76561197972180709,14.99,0.76,131.0
76561197972209961,24.99,inf,0.0
76561197972261430,164.95,38.34,326.0
76561197972361546,39.98,9.88,81.0
76561197972384083,19.99,0.51,195.0
76561197972452208,9.99,5.84,137.0
76561197972468339,9.99,0.79,127.0
76561197972516748,0.0,1.11,90.0
76561197972718483,0.0,7.48,107.0
76561197972758795,9.99,3.57,28.0
76561197972797551,19.99,0.86,116.0
76561197972911511,129.95,326.67,105.0
76561197973196808,19.99,1.0,100.0
76561197973337386,25.97,inf,0.0
76561197973688926,119.97,240.38,52.0
76561197973942939,69.97,34.41,186.0
76561197974036386,59.97,25.96,104.0
76561197974172778,0.0,inf,0.0
76561197974288321,2.99,1.43,70.0
76561197974500703,99.92,323.62,309.0
76561197974754753,19.99,3.7,27.0
76561197974804604,29.99,0.38,266.0
76561197974875094,27.97,21.55,297.0
76561197974963007,0.0,0.6,167.0
76561197975058559,79.97,inf,0.0
76561197975700338,0.0,0.9,111.0
76561197975867686,24.98,2.56,312.0
76561197975869516,4.99,1.19,84.0
76561197975959500,19.99,1.49,67.0
76561197975973976,9.99,inf,0.0
76561197976109742,39.98,inf,0.0
76561197976163348,84.95,96.62,355.0
76561197976177356,39.98,5.0,160.0
76561197976250649,13.98,inf,0.0
76561197976370569,14.99,0.46,216.0
76561197976404001,154.71,255.79,285.0
76561197976455887,39.99,0.43,233.0
76561197976546912,34.99,19.85,136.0
76561197976603911,0.0,10.67,75.0
76561197976652491,9.99,2.13,94.0
76561197976684435,24.99,inf,0.0
76561197976763710,0.0,inf,0.0
76561197976922181,104.92,183.82,68.0
76561197976933723,19.99,0.53,188.0
76561197976939762,24.99,7.34,109.0
76561197976984468,19.99,0.51,196.0
76561197977001876,29.99,0.47,213.0
76561197977051585,29.99,0.9,111.0
76561197977246575,0.0,2.04,49.0
76561197977316974,19.99,0.8,125.0
76561197977470391,0.0,2.56,39.0
76561197977507720,14.99,32.0,25.0
76561197977543317,29.99,0.63,159.0
76561197977544920,44.97,7.33,873.0
76561197977705860,53.97,13.37,202.0
76561197977799906,19.99,1.59,63.0
76561197977922960,0.0,2.13,47.0
76561197977976937,0.0,inf,0.0
76561197977981554,19.98,385.71,7.0
76561197978024377,19.99,39.06,320.0
76561197978096694,0.0,2.22,45.0
76561197978409306,44.97,35.96,178.0
76561197978421438,88.93,259.9,197.0
76561197978703788,14.99,inf,0.0
76561197979007418,14.99,5.26,19.0
76561197979046612,94.93,125.64,273.0
76561197979086508,74.97,36.16,177.0
76561197979522870,59.99,inf,0.0
76561197979731785,99.97,17.2,157.0
76561197979745311,39.99,1.27,79.0
76561197979796744,53.97,48.85,131.0
76561197980184475,14.99,28.57,56.0
76561197980188639,19.99,1.59,63.0
76561197980311109,84.96,inf,0.0
76561197980349491,20.0,0.56,180.0
76561197980386478,59.99,0.47,215.0
76561197980614542,14.99,0.72,139.0
76561197980617560,9.99,0.52,193.0
76561197980634828,19.99,inf,0.0
76561197980641293,34.98,11.59,69.0
76561197980765740,0.0,inf,0.0
76561197980811624,4.99,6.96,115.0
76561197980834629,19.99,inf,0.0
76561197980886661,159.9,242.7,89.0
76561197981203305,61.949999999999996,8.2,1525.0
76561197981277493,19.99,0.74,136.0
76561197981374310,54.98,3.9,205.0
76561197981381850,14.99,3.03,33.0
76561197981425218,69.97,24.77,109.0
76561197981448997,49.99,0.68,147.0
76561197981571612,50.96,78.05,164.0
76561197981780630,14.99,0.84,119.0
76561197981957582,14.99,2.7,37.0
76561197981959164,89.97,inf,0.0
76561197982079779,19.99,1.0,100.0
76561197982124018,5.99,2.56,39.0
76561197982203533,23.979999999999997,6.02,133.0
76561197982363029,59.99,0.8,125.0
76561197982422966,14.99,4.0,25.0
76561197982474515,0.0,0.79,126.0
76561197982587329,9.99,0.79,127.0
76561197982587661,141.96,275.27,186.0
76561197982665201,34.98,17.42,155.0
76561197982685987,69.95,400.0,128.0
76561197982720689,14.99,inf,0.0
76561197983046427,9.99,inf,0.0
76561197983127652,0.0,11.11,72.0
76561197983254661,59.99,1.05,190.0
76561197983633274,9.99,inf,0.0
76561197983697443,149.95,inf,0.0
76561197983745201,10.98,116.13,186.0
76561197983875214,124.97,60.0,45.0
76561197984211461,19.99,5.3,151.0
76561197984271449,9.99,0.25,397.0
76561197984327467,25.97,73.56,87.0
76561197984390941,69.97,100.0,64.0
76561197985031488,19.99,0.25,400.0
76561197985191301,41.95,144.73,237.0
76561197985258383,4.99,inf,0.0
76561197985389455,69.97,87.67,73.0
76561197985512782,102.94,265.28,193.0
76561197985634755,19.99,0.25,395.0
76561197985644714,39.98,inf,0.0
76561197985797191,34.98,0.35,2287.0
76561197986144369,39.99,2.33,344.0
76561197986188587,4.99,0.36,279.0
76561197986214624,22.98,inf,0.0
76561197986468427,34.99,0.79,127.0
76561197986529825,19.99,1.43,70.0
76561197986552181,17.98,3.98,201.0
76561197986617937,39.99,0.33,306.0
76561197986678875,24.98,14.29,189.0
76561197986709258,30.97,inf,0.0
76561197986717785,14.99,44.14,145.0
76561197986891235,0.0,1.85,54.0
76561197986964063,9.99,0.62,161.0
76561197987307155,0.0,0.79,126.0
76561197987394736,74.95,inf,0.0
76561197987442366,34.99,0.89,112.0
76561197987482998,39.99,23.89,113.0
76561197987617385,29.99,0.58,171.0
76561197987668797,4.99,1.09,92.0
76561197987677576,13.98,2.0,50.0
76561197987786431,14.99,3.03,33.0
76561197988062821,4.99,0.8,125.0
76561197988318026,19.99,1.47,544.0
